timestamp,fps,cpu_percent,memory_mb
1786397223.0350451,0.0,0.0,36.7421875
1786397223.051381,0.0,120.2,38.35546875
1786397223.0645685,0.0,0.0,38.35546875
1786397223.0785675,0.0,140.8,38.359375
1786397223.0926275,0.0,72.1,38.359375
1786397223.1104553,0.0,56.2,38.359375
1786397223.1241264,0.0,0.0,38.359375
1786397223.1404765,0.0,61.2,38.36328125
1786397223.1559608,0.0,64.5,38.36328125
1786397223.1715515,0.0,0.0,38.36328125
1786397223.18698,59.52381134033203,64.4,38.36328125
1786397223.2024457,59.52381134033203,0.0,38.36328125
1786397223.21831,59.52381134033203,63.5,38.36328125
1786397223.2372375,59.52381134033203,0.0,38.36328125
1786397223.2541149,59.52381134033203,59.3,38.36328125
1786397223.2704797,59.52381134033203,61.1,38.3671875
1786397223.288345,59.52381134033203,56.0,38.3671875
1786397223.3066642,59.52381134033203,54.6,38.3671875
1786397223.3287883,59.52381134033203,45.0,38.3671875
1786397223.3437781,59.52381134033203,133.5,38.3671875
1786397223.3537407,60.975608825683594,100.6,38.3671875
1786397223.3685145,60.975608825683594,0.0,38.3671875
1786397223.3835564,60.975608825683594,66.5,38.3671875
1786397223.3987415,60.975608825683594,0.0,38.375
1786397223.4181063,60.975608825683594,51.5,38.375
1786397223.4355288,60.975608825683594,57.5,38.375
1786397223.4476764,60.975608825683594,82.4,38.375
1786397223.4654636,60.975608825683594,0.0,38.375
1786397223.481729,60.975608825683594,61.5,38.375
1786397223.4978375,60.975608825683594,0.0,38.375
1786397223.5128698,62.5,65.8,38.375
1786397223.5289574,62.5,62.1,38.375
1786397223.5446217,62.5,64.7,38.375
1786397223.5618024,62.5,58.3,38.37890625
1786397223.5777266,62.5,0.0,38.37890625
1786397223.5955975,62.5,55.9,38.37890625
1786397223.6105776,62.5,66.9,38.37890625
1786397223.6281123,62.5,56.7,38.37890625
1786397223.6495938,62.5,93.4,38.37890625
1786397223.6688893,62.5,103.7,38.37890625
1786397223.681505,60.975608825683594,79.4,38.37890625
1786397223.6994448,60.975608825683594,55.7,38.37890625
1786397223.7123635,60.975608825683594,77.3,38.37890625
1786397223.7249188,60.975608825683594,79.9,38.37890625
1786397223.7401814,60.975608825683594,65.6,38.37890625
1786397223.7588966,60.975608825683594,53.4,38.3828125
1786397223.7748013,60.975608825683594,62.9,38.3828125
1786397223.7902575,60.975608825683594,64.7,38.3828125
1786397223.8049946,60.975608825683594,0.0,38.38671875
1786397223.8211029,60.975608825683594,62.1,38.390625
1786397223.8385975,61.7283935546875,0.0,38.390625
1786397223.8538072,61.7283935546875,65.6,38.390625
1786397223.8725734,61.7283935546875,53.3,38.390625
1786397223.8906343,61.7283935546875,55.4,38.390625
1786397223.9066703,61.7283935546875,62.2,38.39453125
1786397223.924385,61.7283935546875,56.6,38.39453125
1786397223.9388964,61.7283935546875,137.7,38.39453125
1786397223.9497526,61.7283935546875,0.0,38.39453125
1786397223.967944,61.7283935546875,55.0,38.39453125
1786397223.9868937,61.7283935546875,52.7,38.39453125
1786397224.0044498,62.5,56.9,38.39453125
1786397224.015314,62.5,92.6,38.39453125
1786397224.0311859,62.5,0.0,38.3984375
1786397224.0487928,62.5,56.8,38.3984375
1786397224.0657783,62.5,58.8,38.3984375
1786397224.0823684,62.5,60.1,38.40234375
1786397224.0979564,62.5,0.0,38.40234375
1786397224.1163297,62.5,54.4,38.40234375
1786397224.126915,62.5,94.5,38.40234375
1786397224.145334,62.5,54.3,38.40234375
1786397224.1627321,61.349693298339844,0.0,38.40234375
1786397224.1803675,61.349693298339844,56.8,38.40234375
1786397224.1951962,61.349693298339844,67.5,38.40234375
1786397224.2140167,61.349693298339844,52.7,38.40234375
1786397224.2303972,61.349693298339844,61.1,38.40234375
1786397224.247078,61.349693298339844,60.1,38.40234375
1786397224.260537,61.349693298339844,74.9,38.40234375
1786397224.2787974,61.349693298339844,54.6,38.40625
1786397224.293894,61.349693298339844,66.4,38.40625
1786397224.313883,61.349693298339844,49.9,38.40625
1786397224.3295488,60.975608825683594,63.3,38.40625
